model,accuracy,auc,precision,recall,f1,mcc
RandomForest,0.8969991889699919,0.9197915305845585,0.7711864406779662,0.47643979057591623,0.5889967637540453,0.5541074283872264
XGBoost,0.8803730738037308,0.916103496095909,0.6028368794326241,0.6675392670157068,0.6335403726708074,0.5633247432443844
LogisticRegression,0.8410381184103812,0.8932442142074746,0.4913494809688581,0.743455497382199,0.5916666666666667,0.5145014832284747
KNN,0.8730738037307381,0.8266623790334736,0.7142857142857143,0.3010471204188482,0.42357274401473294,0.40859791996881384
GaussianNB,0.272911597729116,0.7330188371134849,0.1726218097447796,0.9738219895287958,0.29325975561687034,0.12888401296020927
DecisionTree,0.8519870235198702,0.7178741546160725,0.5221932114882507,0.5235602094240838,0.5228758169934641,0.4352835225617339
